DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
gen2	371	c1c(cc(c(c1OCC2OCCO2)F)F)Br	c1c(cc(c(c1OCC2OCCO2)F)F)Br
gen2	285	COc1c(cc(cc1Cl)O)C(=O)C2CCCCC2	COc1c(cc(cc1Cl)O)C(=O)C2CCCCC2
gen2	91	Cc1ccccc1Oc2ccccc2	Cc1ccccc1Oc2ccccc2
gen2	46	CCc1cc(cc(c1CC(=O)[O-])CC)C#CC	CCc1cc(cc(c1CC(=O)[O-])CC)C#CC
gen2	254	COC1(CC1)[C@@](Cc2ccc(cc2)F)(CN3C=NC=N3)O	COC1(CC1)C(Cc2ccc(cc2)F)(CN3C=NC=N3)O
gen2	98	c1cc(c(cc1Br)F)C(=O)C2CC2	c1cc(c(cc1Br)F)C(=O)C2CC2
gen2	279	CC(=O)C1=CNc2c1c(cnc2)C(=O)O	CC(=O)C1=CNc2c1c(cnc2)C(=O)O
gen2	22	C[N@]1CC2=C(N=C(N2C)N3CCCCC3)[N@](C1)C	CN1CC2=C(N=C(N2C)N3CCCCC3)N(C1)C
gen2	85	c1cc(c(c(c1)I)O)C(=O)O	c1cc(c(c(c1)I)O)C(=O)O
gen2	11	COc1ccccc1O	COc1ccccc1O
gen2	32	c1cnc(nc1)CN2CC[NH2+]CC2	c1cnc(nc1)CN2CC[NH2+]CC2
gen2	80	c1cc(c2=NON=c2c1)C3C=CNC=C3	c1cc(c2=NON=c2c1)C3C=CNC=C3
gen2	171	c1cc(c(nc1)O)C2=NC(=NO2)c3cccnn3	c1cc(c(nc1)O)C2=NC(=NO2)c3cccnn3
gen2	90	COC(=O)c1cc(c(nc1CBr)Cl)Cl	COC(=O)c1cc(c(nc1CBr)Cl)Cl
gen2	56	C=C=CN1CCCC1=O	C=C=CN1CCCC1=O
gen2	96	CC[C@@H]1C[C@]1(c2ccc(nn2)OC)[NH3+]	CCC1CC1(c2ccc(nn2)OC)[NH3+]
gen2	2723	COC(=O)CC1=CSC(=N1)[N-]S(=O)(=O)C	COC(=O)CC1=CSC(=N1)[N-]S(=O)(=O)C
gen2	591	c1cc(c(c(c1)Cl)Cl)/C=N/NC2=NN=CN2N	c1cc(c(c(c1)Cl)Cl)C=NNC2=NN=CN2N
